+-----+--------------------------------------------+------------------------------------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M                                       |  0.60 | MEDIUM   | 0.60 | false | false   | WARM       | DENSE, FOREST, MOUNTAIN, RARE, SUPER_BIRCH_TREES, THEMED_TREES    | stronghold          |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M                                            |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY                             | stronghold          |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M                                               | -0.50 | COLD     | 0.40 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY                   | stronghold, village |
| 159 | netherex:ruthless_sands                    | Ruthless Sands                                             |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, SANDY                                           | stronghold          |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga                                          |  0.25 | MEDIUM   | 0.80 | false | false   | COOL       | DENSE, FOREST, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES        | stronghold          |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M                                      |  0.25 | MEDIUM   | 0.80 | false | false   | COOL       | DENSE, FOREST, HILLS, MEGA_TAIGA_SPRUCE_TREES, RARE, THEMED_TREES | stronghold          |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M                                           |  0.24 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                            | stronghold          |
| 163 | minecraft:mutated_savanna                  | Savanna M                                                  |  1.10 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE                         | stronghold, village |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M                                          |  1.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE                            | stronghold          |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)                                               |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold          |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M                                           |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HILLS, HOT, RARE, SPARSE                                     | stronghold          |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M                                             |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, RARE, SPARSE                                  | stronghold          |
| 168 | netherex:fungi_forest                      | Fungi Forest                                               |  1.10 | WARM     | 0.00 | false | false   |            | COLD, MUSHROOM, NETHER, WET                                       | stronghold          |
| 169 | netherex:torrid_wasteland                  | Torrid Wasteland                                           |  4.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER, WASTELAND                                       | stronghold          |
| 170 | netherex:arctic_abyss                      | Arctic Abyss                                               |  0.00 | COLD     | 0.00 | false | false   |            | COLD, NETHER, WET                                                 | stronghold          |
| 171 | thaumicaugmentation:emptiness              | Emptiness                                                  |  0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, SPARSE, SPOOKY, VOID                                        | spawn               |
| 172 | thaumicaugmentation:tainted_lands          | Tainted Lands                                              |  0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, SPOOKY, VOID                                                | spawn               |
| 173 | thaumicaugmentation:emptiness_highlands    | Emptiness Highlands                                        |  0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, HILLS, MOUNTAIN, SPARSE, SPOOKY, VOID                       | spawn, stronghold   |
| 174 | aether_legacy:aether_highlands             | Aether                                                     |  0.50 | MEDIUM   | 0.00 | false | false   |            | COLD, MAGICAL, VOID                                               | stronghold          |
| 175 | thebetweenlands:patchy_islands             | Patchy Islands                                             |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                                 | stronghold          |
| 176 | thebetweenlands:swamplands                 | Swamplands                                                 |  0.80 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WATER, WET                                  | stronghold          |
| 177 | thebetweenlands:deep_waters                | Deep Waters                                                |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER                                                      | stronghold          |
| 178 | thebetweenlands:coarse_islands             | Coarse Islands                                             |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                                 | stronghold          |
| 179 | thebetweenlands:raised_isles               | Raised Isles                                               |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                                 | stronghold          |
| 180 | thebetweenlands:sludge_plains              | Sludge Plains                                              |  0.80 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                                       | stronghold          |
| 181 | thebetweenlands:marsh_0                    | Marsh 0                                                    |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                                 | stronghold          |
| 182 | thebetweenlands:marsh_1                    | Marsh 1                                                    |  0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, WATER, WET                                                 | stronghold          |
| 183 | thebetweenlands:swamplands_clearing        | Swamplands Clearing                                        |  0.80 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WATER, WET                                  | stronghold          |
| 184 | thebetweenlands:sludge_plains_clearing     | Sludge Plains Clearing                                     |  0.80 | MEDIUM   | 0.90 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                                       | stronghold          |
| 185 | jeid:error_biome                           | A mod doesn't support extended biome IDs -- report to REID |  0.50 | MEDIUM   | 0.50 | false | false   |            | PLAINS                                                            | stronghold          |
| 186 | beneath:the_beneath                        | The Beneath                                                |  0.50 | MEDIUM   | 0.50 | false | false   |            | DEAD                                                              | stronghold          |
| 187 | nb:crimson_forest                          | Crimson Forest                                             |  2.00 | WARM     | 0.50 | false | false   |            | HOT, NETHER                                                       | stronghold          |
| 188 | nb:warped_forest                           | Warped Forest                                              |  2.00 | WARM     | 0.50 | false | false   |            | HOT, NETHER                                                       | stronghold          |
| 189 | nb:soul_sand_valley                        | Soul Sand Valley                                           |  2.00 | WARM     | 0.50 | false | false   |            | DRY, HOT, NETHER                                                  | stronghold          |
| 190 | nb:basalt_deltas                           | Basalt Deltas                                              |  2.00 | WARM     | 0.50 | false | false   |            | HOT, MOUNTAIN, NETHER                                             | stronghold          |
| 191 | ee:ash_wastelands                          | Ash Wastelands                                             |  0.80 | MEDIUM   | 0.50 | false | false   |            | DRY, END, WASTELAND                                               | stronghold          |
| 192 | ee:barrend_low_lands                       | Barrend Bogs                                               |  0.50 | MEDIUM   | 0.50 | false | false   |            | END, LUSH, SWAMP                                                  | stronghold          |
+-----+--------------------------------------------+------------------------------------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for           |
+-----+--------------------------------------------+------------------------------------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+---------------------+
